sep=,
Date,Open,High,Low,Close,Volume
16-Jun-15,2.32,2.37,2.32,2.35,9795010
15-Jun-15,2.32,2.35,2.29,2.32,8627827
12-Jun-15,2.31,2.33,2.30,2.31,4557596
11-Jun-15,2.34,2.35,2.31,2.32,7671032
10-Jun-15,2.31,2.35,2.30,2.32,8161224
9-Jun-15,2.35,2.36,2.28,2.29,12282656
8-Jun-15,2.31,2.33,2.29,2.31,6212876
5-Jun-15,2.31,2.34,2.29,2.33,7349686
4-Jun-15,2.28,2.33,2.26,2.33,11575844
3-Jun-15,2.30,2.32,2.28,2.28,8062307
2-Jun-15,2.26,2.30,2.25,2.30,7105950
1-Jun-15,2.29,2.30,2.25,2.25,6803664
29-May-15,2.27,2.32,2.25,2.28,7750487
28-May-15,2.28,2.33,2.27,2.27,12354612
27-May-15,2.24,2.28,2.20,2.28,17511026
26-May-15,2.27,2.28,2.22,2.22,10007826
22-May-15,2.30,2.31,2.27,2.28,12845410
21-May-15,2.31,2.35,2.28,2.28,7127745
20-May-15,2.30,2.33,2.28,2.32,6947688
19-May-15,2.36,2.37,2.28,2.28,9588414
18-May-15,2.35,2.36,2.33,2.35,4732781
15-May-15,2.33,2.38,2.32,2.32,8054813
14-May-15,2.38,2.39,2.33,2.33,8865090
13-May-15,2.36,2.38,2.35,2.37,7575944
12-May-15,2.32,2.35,2.30,2.35,10017533
11-May-15,2.31,2.35,2.31,2.32,10046911
8-May-15,2.33,2.36,2.30,2.31,9758803
7-May-15,2.32,2.32,2.26,2.32,15015605
6-May-15,2.29,2.30,2.24,2.29,18492059
5-May-15,2.34,2.34,2.25,2.28,12371555
4-May-15,2.31,2.36,2.30,2.31,9670083
1-May-15,2.26,2.31,2.25,2.31,11662803
30-Apr-15,2.28,2.31,2.26,2.26,11465305
29-Apr-15,2.30,2.33,2.27,2.28,11870217
28-Apr-15,2.36,2.37,2.31,2.31,11448708
27-Apr-15,2.30,2.36,2.29,2.34,13486896
24-Apr-15,2.36,2.38,2.30,2.30,15001242
23-Apr-15,2.28,2.36,2.26,2.33,15130407
22-Apr-15,2.35,2.36,2.25,2.28,27634939
21-Apr-15,2.53,2.53,2.35,2.35,31279416
20-Apr-15,2.56,2.57,2.45,2.49,29164284
17-Apr-15,2.54,2.58,2.45,2.58,53185288
16-Apr-15,2.72,2.94,2.70,2.87,28617313
15-Apr-15,2.70,2.74,2.65,2.70,15281419
14-Apr-15,2.77,2.79,2.65,2.67,13364127
13-Apr-15,2.76,2.80,2.73,2.78,8391501
10-Apr-15,2.74,2.78,2.73,2.76,6184822
9-Apr-15,2.69,2.75,2.69,2.72,7127564
8-Apr-15,2.68,2.74,2.68,2.71,4348995
7-Apr-15,2.70,2.74,2.69,2.70,5738069
6-Apr-15,2.68,2.73,2.68,2.70,8178519
2-Apr-15,2.66,2.70,2.65,2.69,7047568
1-Apr-15,2.66,2.75,2.65,2.69,11240503
31-Mar-15,2.66,2.70,2.65,2.68,7025016
30-Mar-15,2.73,2.76,2.66,2.70,8558207
27-Mar-15,2.70,2.80,2.63,2.72,16844090
26-Mar-15,2.59,2.70,2.53,2.65,28286331
25-Mar-15,2.78,2.79,2.56,2.63,26985252
24-Mar-15,2.85,2.85,2.76,2.79,8724501
23-Mar-15,2.81,2.85,2.80,2.84,7450247
20-Mar-15,2.76,2.80,2.74,2.80,10764776
19-Mar-15,2.76,2.78,2.73,2.74,8819433
18-Mar-15,2.77,2.82,2.72,2.75,11385190
17-Mar-15,2.75,2.80,2.74,2.77,7742219
